,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation,user_split,user_text,target,location
17,iembot_mlb,"At 8:20 PM, 4 S Altamonte Springs [Orange Co, FL] EMERGENCY MNGR reports FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610020020/201610020020",2016-10-02 00:22:47+00:00,1,0,,#MLB,,iembot mlb,"iembot mlb At 8:20 PM, 4 S Altamonte Springs [Orange Co, FL] EMERGENCY MNGR reports FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610020020/201610020020",1,IA
18,TotalTrafficMCO,"Flash floods, caution in #Orange on Pne Hills Rd Both NB/SB at Hwy 50 #traffic http://bit.ly/ZE5wVb",2016-10-02 00:17:31+00:00,0,0,,#Orange #traffic,,TotalTrafficMCO,"TotalTrafficMCO Flash floods, caution in #Orange on Pne Hills Rd Both NB/SB at Hwy 50 #traffic http://bit.ly/ZE5wVb",1,IA
19,iembot_grr,"At 7:30 PM, 3 SW Clarksville [Ionia Co, MI] 911 CALL CENTER reports FLOOD #GRR http://mesonet.agron.iastate.edu/lsr/#GRR/201610012330/201610012330",2016-10-02 00:02:34+00:00,0,0,,#GRR,,iembot grr,"iembot grr At 7:30 PM, 3 SW Clarksville [Ionia Co, MI] 911 CALL CENTER reports FLOOD #GRR http://mesonet.agron.iastate.edu/lsr/#GRR/201610012330/201610012330",1,IA
20,NWSMelbourne," Move to higher ground! Flash Flood Warning including Orlando FL, Pine Hills FL, Apopka FL until 9:15 PM EDT ",2016-10-01 23:54:30+00:00,15,5,,,,NWSMelbourne,"NWSMelbourne  Move to higher ground! Flash Flood Warning including Orlando FL, Pine Hills FL, Apopka FL until 9:15 PM EDT ",1,IA
21,iembot_mlb,"At 7:30 PM, 4 S Altamonte Springs [Orange Co, FL] PUBLIC reports FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610012330/201610012330",2016-10-01 23:54:26+00:00,0,0,,#MLB,,iembot mlb,"iembot mlb At 7:30 PM, 4 S Altamonte Springs [Orange Co, FL] PUBLIC reports FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610012330/201610012330",1,IA
22,chriswhetlor,"Alien Crop Circles, sign of the flood, or possibly it's where the portable baptismal was on the… https://www.instagram.com/p/BLCZb2YBmEa/",2016-10-01 22:42:21+00:00,0,0,,,,chriswhetlor,"chriswhetlor Alien Crop Circles, sign of the flood, or possibly it's where the portable baptismal was on the… https://www.instagram.com/p/BLCZb2YBmEa/",0,IA
23,NickFry,"Don't forget!!! TONIGHT! WV Flood Benefit Concert Barboursville Park in Barboursville,… https://www.instagram.com/p/BLCTwi4At58/",2016-10-01 21:52:44+00:00,0,0,,,,NickFry,"NickFry Don't forget!!! TONIGHT! WV Flood Benefit Concert Barboursville Park in Barboursville,… https://www.instagram.com/p/BLCTwi4At58/",0,IA
24,dougbug18,"The alluvial fan near Estes, was formed in 1982 during the Lawn Lake flood. #lawnlake @Rocky… https://www.instagram.com/p/BLCObKUgRXC/",2016-10-01 21:06:07+00:00,0,0,,#lawnlake,,dougbug18,"dougbug18 The alluvial fan near Estes, was formed in 1982 during the Lawn Lake flood. #lawnlake @Rocky… https://www.instagram.com/p/BLCObKUgRXC/",0,IA
25,USGS_TexasFlood,"#USGS08193000 - Nueces Rv nr Asherton, TX is below NWS flood stage (20ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08193000&amp;t=20161001143000",2016-10-01 20:38:57+00:00,0,0,,#USGS08193000,,USGS TexasFlood,"USGS TexasFlood #USGS08193000 - Nueces Rv nr Asherton, TX is below NWS flood stage (20ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08193000&amp;t=20161001143000",1,IA
26,iembot_slc,"At 1:10 PM, 5 SSE Capitol Reef NP [Wayne Co, UT] PARK/FOREST SRVC reports FLASH FLOOD #SLC http://mesonet.agron.iastate.edu/lsr/#SLC/201610011910/201610011910",2016-10-01 20:17:41+00:00,0,1,,#SLC,,iembot slc,"iembot slc At 1:10 PM, 5 SSE Capitol Reef NP [Wayne Co, UT] PARK/FOREST SRVC reports FLASH FLOOD #SLC http://mesonet.agron.iastate.edu/lsr/#SLC/201610011910/201610011910",1,IA
27,iembot_lwx,"At 3:13 PM, 1 SW Breton BAY [St. Marys Co, MD] TRAINED SPOTTER reports COASTAL FLOOD #LWX http://mesonet.agron.iastate.edu/lsr/#LWX/201610011913/201610011913",2016-10-01 19:15:32+00:00,0,0,,#LWX,,iembot lwx,"iembot lwx At 3:13 PM, 1 SW Breton BAY [St. Marys Co, MD] TRAINED SPOTTER reports COASTAL FLOOD #LWX http://mesonet.agron.iastate.edu/lsr/#LWX/201610011913/201610011913",1,IA
28,Mzzbesttbest,My Sisters keeps Telling me not to Flood and Stock their Storage Space with my Pictures that… https://www.instagram.com/p/BLB45s4D1dF/,2016-10-01 17:58:03+00:00,1,1,,,,Mzzbesttbest,Mzzbesttbest My Sisters keeps Telling me not to Flood and Stock their Storage Space with my Pictures that… https://www.instagram.com/p/BLB45s4D1dF/,1,IA
29,favourcookieco,takeadumpontrump2016@Gmail.com Flood his inbox with comments and… https://www.instagram.com/p/BLB3fcOA92hEHXEziK0EBTTG5J39ysYn_blodM0/,2016-10-01 17:45:43+00:00,0,0,,,,favourcookieco,favourcookieco takeadumpontrump2016@Gmail.com Flood his inbox with comments and… https://www.instagram.com/p/BLB3fcOA92hEHXEziK0EBTTG5J39ysYn_blodM0/,1,IA
30,educaciondecr,"Flood - Iowa/Illinois/Wisconsin, United States: FLOOD (WARNING) http://dlvr.it/MMvS0K",2016-10-01 11:19:05+00:00,0,0,,,,educaciondecr,"educaciondecr Flood - Iowa/Illinois/Wisconsin, United States: FLOOD (WARNING) http://dlvr.it/MMvS0K",1,IA
31,HeelingAHart,And GN/GM... This concludes the clearing of my phone to make room to flood your timeline later… https://www.instagram.com/p/BLAojccj_iN/,2016-10-01 06:16:09+00:00,0,0,,,,HeelingAHart,HeelingAHart And GN/GM... This concludes the clearing of my phone to make room to flood your timeline later… https://www.instagram.com/p/BLAojccj_iN/,1,IA
32,LaffHousePhilly,datgirlcomedy and hope.flood #philly #laffhouseisback #LAFFHOUSE #comdeyvets @The Gallerie Isada https://www.instagram.com/p/BLAUwSxj7EL/,2016-10-01 03:22:57+00:00,0,1,,#philly #laffhouseisback #LAFFHOUSE #comdeyvets,,LaffHousePhilly,LaffHousePhilly datgirlcomedy and hope.flood #philly #laffhouseisback #LAFFHOUSE #comdeyvets @The Gallerie Isada https://www.instagram.com/p/BLAUwSxj7EL/,1,IA
33,LaffHousePhilly,hope.flood &amp; datgirlcomedy killed it tonight #laffhouseisback #laffhouse #@The Gallerie Isada https://www.instagram.com/p/BLATNPED7HU/,2016-10-01 03:09:26+00:00,1,0,,#laffhouseisback #laffhouse,,LaffHousePhilly,LaffHousePhilly hope.flood &amp; datgirlcomedy killed it tonight #laffhouseisback #laffhouse #@The Gallerie Isada https://www.instagram.com/p/BLATNPED7HU/,1,IA
34,njframer,VERY IMPORTANT to all in the Windsor/Tecumseh area that had their basements flood on Thursday.… https://www.instagram.com/p/BLALBoahx7h/,2016-10-01 01:57:57+00:00,0,0,,,,njframer,njframer VERY IMPORTANT to all in the Windsor/Tecumseh area that had their basements flood on Thursday.… https://www.instagram.com/p/BLALBoahx7h/,1,IA
35,NWSElPaso," Move to higher ground! Flash Flood Warning including Sierra County, NM until 9:15 PM MDT ",2016-10-01 00:16:25+00:00,0,0,,,,NWSElPaso,"NWSElPaso  Move to higher ground! Flash Flood Warning including Sierra County, NM until 9:15 PM MDT ",1,IA
36,Chaotic_Freedom,intersection of King and Union#sandbags #flood #flooding @Vola's Dockside Grill &amp; Hi-Tide Lounge https://www.instagram.com/p/BK_-chAh0yn/,2016-10-01 00:08:02+00:00,0,0,,#flood #flooding,,Chaotic Freedom,Chaotic Freedom intersection of King and Union#sandbags #flood #flooding @Vola's Dockside Grill &amp; Hi-Tide Lounge https://www.instagram.com/p/BK_-chAh0yn/,1,IA
37,NWSElPaso," Move to higher ground! Flash Flood Warning including Sierra County, NM until 9:00 PM MDT ",2016-10-01 00:05:27+00:00,1,1,,,,NWSElPaso,"NWSElPaso  Move to higher ground! Flash Flood Warning including Sierra County, NM until 9:00 PM MDT ",1,IA
38,cortrobbs,you've been on my mind girl(s) since the flood @The Zoo Amphitheatre https://www.instagram.com/p/BK_85yWBrDh/,2016-09-30 23:54:34+00:00,0,0,,,,cortrobbs,cortrobbs you've been on my mind girl(s) since the flood @The Zoo Amphitheatre https://www.instagram.com/p/BK_85yWBrDh/,1,IA
39,iembot_akq,"At 4:15 PM, 2 E Wharfs Store [Dinwiddie Co, VA] LAW ENFORCEMENT reports FLASH FLOOD #AKQ http://mesonet.agron.iastate.edu/lsr/#AKQ/201609302015/201609302015",2016-09-30 23:22:04+00:00,0,0,,#AKQ,,iembot akq,"iembot akq At 4:15 PM, 2 E Wharfs Store [Dinwiddie Co, VA] LAW ENFORCEMENT reports FLASH FLOOD #AKQ http://mesonet.agron.iastate.edu/lsr/#AKQ/201609302015/201609302015",1,IA
40,iembot_akq,"At 5:30 PM, 1 W Petersburg National [City Of Petersburg Co, VA] PUBLIC reports FLASH FLOOD #AKQ http://mesonet.agron.iastate.edu/lsr/#AKQ/201609302130/201609302130",2016-09-30 23:18:46+00:00,0,0,,#AKQ,,iembot akq,"iembot akq At 5:30 PM, 1 W Petersburg National [City Of Petersburg Co, VA] PUBLIC reports FLASH FLOOD #AKQ http://mesonet.agron.iastate.edu/lsr/#AKQ/201609302130/201609302130",1,IA
41,GoProGirlMiami,We all need uber boats to go home today! #flood #miami #miamiweather #myradar @Brickell Area https://www.instagram.com/p/BK_z-6LAmGp/,2016-09-30 22:36:35+00:00,0,1,,#flood #miami #miamiweather #myradar,,GoProGirlMiami,GoProGirlMiami We all need uber boats to go home today! #flood #miami #miamiweather #myradar @Brickell Area https://www.instagram.com/p/BK_z-6LAmGp/,1,IA
42,MissouriCityBL,Fort Bend County Flood Recovery Center http://bubly.us/O3oZ,2016-09-30 21:58:25+00:00,0,0,,,,MissouriCityBL,MissouriCityBL Fort Bend County Flood Recovery Center http://bubly.us/O3oZ,1,IA
43,NWSWakefieldVA, Move to higher ground! Flash Flood Warning including Mechanicsville VA until 8:45 PM EDT ,2016-09-30 21:53:34+00:00,2,0,,,,NWSWakefieldVA,NWSWakefieldVA  Move to higher ground! Flash Flood Warning including Mechanicsville VA until 8:45 PM EDT ,1,IA
44,NWSWakefieldVA, Move to higher ground! Flash Flood Warning including Highland Springs VA until 8:00 PM EDT ,2016-09-30 20:56:20+00:00,1,1,,,,NWSWakefieldVA,NWSWakefieldVA  Move to higher ground! Flash Flood Warning including Highland Springs VA until 8:00 PM EDT ,1,IA
45,erickasvision,This is our look as if right now. Flash flood warnings. This rain… https://www.instagram.com/p/BK_mOxBDtp5zufB9VRe16DdvM-AjiyXYeQlKWw0/,2016-09-30 20:36:25+00:00,0,0,,,,erickasvision,erickasvision This is our look as if right now. Flash flood warnings. This rain… https://www.instagram.com/p/BK_mOxBDtp5zufB9VRe16DdvM-AjiyXYeQlKWw0/,1,IA
46,NWSWakefieldVA, Move to higher ground! Flash Flood Warning including Petersburg VA and Hopewell VA until 7:30 PM EDT ,2016-09-30 20:34:27+00:00,2,0,,,,NWSWakefieldVA,NWSWakefieldVA  Move to higher ground! Flash Flood Warning including Petersburg VA and Hopewell VA until 7:30 PM EDT ,1,IA
47,5PointsTucson,Storms a'brewin'! We've got you covered until 3 with a flash flood scone sale: 2.00 fresh local… https://www.instagram.com/p/BK_khJEgIS0/,2016-09-30 20:21:27+00:00,0,1,,,,5PointsTucson,5PointsTucson Storms a'brewin'! We've got you covered until 3 with a flash flood scone sale: 2.00 fresh local… https://www.instagram.com/p/BK_khJEgIS0/,1,IA
48,NWSWakefieldVA, Move to higher ground! Flash Flood Warning including Stony Creek VA until 6:45 PM EDT ,2016-09-30 19:42:02+00:00,1,1,,,,NWSWakefieldVA,NWSWakefieldVA  Move to higher ground! Flash Flood Warning including Stony Creek VA until 6:45 PM EDT ,1,IA
49,noteworthyrun,"At bike and bag check-in. Water is still crazy. Some flood warnings. But f#$k it, I'm here.… https://www.instagram.com/p/BK_V0Q6jzT8/",2016-09-30 18:13:00+00:00,0,1,,,,noteworthyrun,"noteworthyrun At bike and bag check-in. Water is still crazy. Some flood warnings. But f#$k it, I'm here.… https://www.instagram.com/p/BK_V0Q6jzT8/",1,IA
50,iembot_rnk,"At 1:00 PM, 2 W Stewartsville [Bedford Co, VA] PUBLIC reports FLOOD #RNK http://mesonet.agron.iastate.edu/lsr/#RNK/201609301700/201609301700",2016-09-30 17:40:35+00:00,0,0,,#RNK,,iembot rnk,"iembot rnk At 1:00 PM, 2 W Stewartsville [Bedford Co, VA] PUBLIC reports FLOOD #RNK http://mesonet.agron.iastate.edu/lsr/#RNK/201609301700/201609301700",1,IA
51,A_L_I_XXX,I apologize now for all of the beautiful pictures to flood your… https://www.instagram.com/p/BK_R7-xgZdVJT2xOObRMuIsWDBw52y-8IoRyPM0/,2016-09-30 17:39:05+00:00,0,0,,,,A L I XXX,A L I XXX I apologize now for all of the beautiful pictures to flood your… https://www.instagram.com/p/BK_R7-xgZdVJT2xOObRMuIsWDBw52y-8IoRyPM0/,1,IA
52,jerrellddean," ""And Oh the joy that floods my soul!"" . To taste American food again, especially after this… https://www.instagram.com/p/BK_QFOigY1G/",2016-09-30 17:22:52+00:00,0,0,,,,jerrellddean,"jerrellddean  ""And Oh the joy that floods my soul!"" . To taste American food again, especially after this… https://www.instagram.com/p/BK_QFOigY1G/",1,IA
53,BravoSayz,"They drove through floods, rain, more rain, more rain and more rain to come celebrate with ya… https://www.instagram.com/p/BK_QDZkAA7l/",2016-09-30 17:22:38+00:00,1,1,,,,BravoSayz,"BravoSayz They drove through floods, rain, more rain, more rain and more rain to come celebrate with ya… https://www.instagram.com/p/BK_QDZkAA7l/",1,IA
54,NWSRaleigh, Move to higher ground! Flash Flood Warning continues for Falcon NC until 7:15 PM EDT ,2016-09-30 15:42:25+00:00,1,0,,,,NWSRaleigh,NWSRaleigh  Move to higher ground! Flash Flood Warning continues for Falcon NC until 7:15 PM EDT ,1,IA
55,NWSRaleigh, Move to higher ground! Flash Flood Warning continues for Rockfish NC until 5:45 PM EDT ,2016-09-30 15:38:07+00:00,0,0,,,,NWSRaleigh,NWSRaleigh  Move to higher ground! Flash Flood Warning continues for Rockfish NC until 5:45 PM EDT ,1,IA
56,NWSRaleigh, Move to higher ground! Flash Flood Warning continues for Linden NC until 4:30 PM EDT ,2016-09-30 15:08:07+00:00,3,1,,,,NWSRaleigh,NWSRaleigh  Move to higher ground! Flash Flood Warning continues for Linden NC until 4:30 PM EDT ,1,IA
57,iembot_rlx,"At 10:31 AM, 4 NNE Mill Creek [Randolph Co, WV] EMERGENCY MNGR reports FLOOD #RLX http://mesonet.agron.iastate.edu/lsr/#RLX/201609301431/201609301431",2016-09-30 14:33:36+00:00,0,0,,#RLX,,iembot rlx,"iembot rlx At 10:31 AM, 4 NNE Mill Creek [Randolph Co, WV] EMERGENCY MNGR reports FLOOD #RLX http://mesonet.agron.iastate.edu/lsr/#RLX/201609301431/201609301431",1,IA
58,nellybaby927,I don't remeber adding a pool to the back yard lol #rain #flood #itsnotevenhightideyet @Ocean… https://www.instagram.com/p/BK-8jrehM4N/,2016-09-30 14:32:18+00:00,1,1,,#rain #flood #itsnotevenhightideyet,,nellybaby927,nellybaby927 I don't remeber adding a pool to the back yard lol #rain #flood #itsnotevenhightideyet @Ocean… https://www.instagram.com/p/BK-8jrehM4N/,1,IA
59,NWSWilmingtonNC," Move to higher ground! Flash Flood Warning including Hampstead NC, Surf City NC until 1:30 PM EDT ",2016-09-30 14:24:16+00:00,9,3,,,,NWSWilmingtonNC,"NWSWilmingtonNC  Move to higher ground! Flash Flood Warning including Hampstead NC, Surf City NC until 1:30 PM EDT ",1,IA
60,iembot_rnk,"At 9:30 PM, 2 NE White Plains [Surry Co, NC] EMERGENCY MNGR reports FLOOD #RNK http://mesonet.agron.iastate.edu/lsr/#RNK/201609300130/201609300130",2016-09-30 14:01:26+00:00,0,0,,#RNK,,iembot rnk,"iembot rnk At 9:30 PM, 2 NE White Plains [Surry Co, NC] EMERGENCY MNGR reports FLOOD #RNK http://mesonet.agron.iastate.edu/lsr/#RNK/201609300130/201609300130",1,IA
61,iembot_rnk,"At 9:30 PM, 1 SSE Mount Airy [Surry Co, NC] EMERGENCY MNGR reports FLOOD #RNK http://mesonet.agron.iastate.edu/lsr/#RNK/201609300130/201609300130",2016-09-30 13:54:51+00:00,0,0,,#RNK,,iembot rnk,"iembot rnk At 9:30 PM, 1 SSE Mount Airy [Surry Co, NC] EMERGENCY MNGR reports FLOOD #RNK http://mesonet.agron.iastate.edu/lsr/#RNK/201609300130/201609300130",1,IA
62,educaciondecr,"Flood - Texas, United States: FLOOD (WARNING) http://dlvr.it/MMcZh6",2016-09-30 13:31:14+00:00,0,0,,,,educaciondecr,"educaciondecr Flood - Texas, United States: FLOOD (WARNING) http://dlvr.it/MMcZh6",1,IA
63,iembot_rlx,"At 8:00 AM, Dunmore [Pocahontas Co, WV] CO-OP OBSERVER reports FLOOD #RLX http://mesonet.agron.iastate.edu/lsr/#RLX/201609301200/201609301200",2016-09-30 12:36:03+00:00,0,0,,#RLX,,iembot rlx,"iembot rlx At 8:00 AM, Dunmore [Pocahontas Co, WV] CO-OP OBSERVER reports FLOOD #RLX http://mesonet.agron.iastate.edu/lsr/#RLX/201609301200/201609301200",1,IA
64,iembot_rlx,"At 8:00 AM, 3 SSE Greenbank [Pocahontas Co, WV] CO-OP OBSERVER reports FLOOD #RLX http://mesonet.agron.iastate.edu/lsr/#RLX/201609301200/201609301200",2016-09-30 12:33:42+00:00,0,0,,#RLX,,iembot rlx,"iembot rlx At 8:00 AM, 3 SSE Greenbank [Pocahontas Co, WV] CO-OP OBSERVER reports FLOOD #RLX http://mesonet.agron.iastate.edu/lsr/#RLX/201609301200/201609301200",1,IA
65,iembot_rlx,"At 6:15 AM, Frost [Pocahontas Co, WV] EMERGENCY MNGR reports FLOOD #RLX http://mesonet.agron.iastate.edu/lsr/#RLX/201609301015/201609301015",2016-09-30 10:17:55+00:00,0,0,,#RLX,,iembot rlx,"iembot rlx At 6:15 AM, Frost [Pocahontas Co, WV] EMERGENCY MNGR reports FLOOD #RLX http://mesonet.agron.iastate.edu/lsr/#RLX/201609301015/201609301015",1,IA
66,BaltimoreCP,Flood Warnings still in effect for parts of the Eastern Shore. WBAL @TonyPannWBAL http://toplocalnow.com/us/baltimore,2016-09-30 09:29:06+00:00,0,0,@TonyPannWBAL,,,BaltimoreCP,BaltimoreCP Flood Warnings still in effect for parts of the Eastern Shore. WBAL @TonyPannWBAL http://toplocalnow.com/us/baltimore,1,IA
67,iembot_phi,"At 6:03 PM, Dagsboro [Sussex Co, DE] DEPT OF HIGHWAYS reports FLOOD #PHI http://mesonet.agron.iastate.edu/lsr/#PHI/201609292203/201609292203",2016-09-30 08:53:48+00:00,0,0,,#PHI,,iembot phi,"iembot phi At 6:03 PM, Dagsboro [Sussex Co, DE] DEPT OF HIGHWAYS reports FLOOD #PHI http://mesonet.agron.iastate.edu/lsr/#PHI/201609292203/201609292203",1,IA
68,iembot_phi,"At 5:10 PM, Wood Branch [Sussex Co, DE] COUNTY OFFICIAL reports FLOOD #PHI http://mesonet.agron.iastate.edu/lsr/#PHI/201609292110/201609292110",2016-09-30 08:53:48+00:00,0,0,,#PHI,,iembot phi,"iembot phi At 5:10 PM, Wood Branch [Sussex Co, DE] COUNTY OFFICIAL reports FLOOD #PHI http://mesonet.agron.iastate.edu/lsr/#PHI/201609292110/201609292110",1,IA
69,iembot_phi,"At 6:50 AM, 1 ESE Homestead Mobile [Sussex Co, DE] DEPT OF HIGHWAYS reports FLOOD #PHI http://mesonet.agron.iastate.edu/lsr/#PHI/201609291050/201609291050",2016-09-30 08:39:44+00:00,0,0,,#PHI,,iembot phi,"iembot phi At 6:50 AM, 1 ESE Homestead Mobile [Sussex Co, DE] DEPT OF HIGHWAYS reports FLOOD #PHI http://mesonet.agron.iastate.edu/lsr/#PHI/201609291050/201609291050",1,IA
70,iembot_phi,"At 12:46 PM, 1 SSW Mispillion Light [Sussex Co, DE] DEPT OF HIGHWAYS reports FLOOD #PHI http://mesonet.agron.iastate.edu/lsr/#PHI/201609291646/201609291646",2016-09-30 08:30:28+00:00,0,0,,#PHI,,iembot phi,"iembot phi At 12:46 PM, 1 SSW Mispillion Light [Sussex Co, DE] DEPT OF HIGHWAYS reports FLOOD #PHI http://mesonet.agron.iastate.edu/lsr/#PHI/201609291646/201609291646",1,IA
