,Date,Favorites,Geolocation,HashTags,Mentions,Retweets,Text,User,target,user_split,user_text,location
12,2019-07-19 13:53:26+00:00,1,,,,0,"At 6:15 PM CDT, 2 WNW Rolla [Phelps Co, MO] PUBLIC reports FLASH FLOOD. HWY Y AND E IN ROLLA WERE IMPASSABLE DUE TO FLOODING. DELAYED REPORT VIA SOCIAL MEDIA. https://mesonet.agron.iastate.edu/lsr/#SGF/201907172315/201907172315",iembot_sgf,1,iembot sgf,"iembot sgf At 6:15 PM CDT, 2 WNW Rolla [Phelps Co, MO] PUBLIC reports FLASH FLOOD. HWY Y AND E IN ROLLA WERE IMPASSABLE DUE TO FLOODING. DELAYED REPORT VIA SOCIAL MEDIA. https://mesonet.agron.iastate.edu/lsr/#SGF/201907172315/201907172315",WI
13,2019-07-19 13:44:48+00:00,5,,#ma #USA #Argentina #NoPlant19 #Corn #Flood #inundaciones #AgriTalk #agriculture #AgricShowUG2019 #AgricultureNews,@maxizavala,13,"Así están muchos lotes de #maíz en #USA debido a los excesos hídricos, siembra tardía y estrés por calor. Que decís ⁦@maxizavala⁩ tenemos maíz en #Argentina para reemplazarlo??? #NoPlant19 #Corn #Flood #inundaciones #AgriTalk #agriculture #AgricShowUG2019 #AgricultureNews",mlopez_stats,1,mlopez stats,"mlopez stats Así están muchos lotes de #maíz en #USA debido a los excesos hídricos, siembra tardía y estrés por calor. Que decís ⁦@maxizavala⁩ tenemos maíz en #Argentina para reemplazarlo??? #NoPlant19 #Corn #Flood #inundaciones #AgriTalk #agriculture #AgricShowUG2019 #AgricultureNews",WI
14,2019-07-19 12:52:02+00:00,0,,,,3,i can’t wait to go back to school and flood my life with music again ,d_cansler,1,d cansler,d cansler i can’t wait to go back to school and flood my life with music again ,WI
15,2019-07-19 12:14:59+00:00,2,,#Likes #Follows #Instagram #googleads #digitalmarketing #seo #google #marketing #marketingdigital,@_d_a_n_i_e_l__b,2,Please flood @_d_a_n_i_e_l__b with #Likes and #Follows because #Instagram is censoring him rn. https://www.blurb.com/b/9419364-daniel-brummitt #googleads #digitalmarketing #seo #google #marketing #marketingdigital… https://www.instagram.com/p/B0GRQCGgi6x/?igshid=kkumb8tfkew7,57KazqZ6UYIq2P2,1,57KazqZ6UYIq2P2,57KazqZ6UYIq2P2 Please flood @_d_a_n_i_e_l__b with #Likes and #Follows because #Instagram is censoring him rn. https://www.blurb.com/b/9419364-daniel-brummitt #googleads #digitalmarketing #seo #google #marketing #marketingdigital… https://www.instagram.com/p/B0GRQCGgi6x/?igshid=kkumb8tfkew7,WI
16,2019-07-19 12:07:40+00:00,0,,,,0,"At 3:00 AM CDT, Stockton [Winona Co, MN] EMERGENCY MNGR reports FLASH FLOOD. EVIDENCE OF EARLIER FLASH FLOODING AT WACHOLTZ DRIVE https://mesonet.agron.iastate.edu/lsr/#ARX/201907190800/201907190800",iembot_arx,1,iembot arx,"iembot arx At 3:00 AM CDT, Stockton [Winona Co, MN] EMERGENCY MNGR reports FLASH FLOOD. EVIDENCE OF EARLIER FLASH FLOODING AT WACHOLTZ DRIVE https://mesonet.agron.iastate.edu/lsr/#ARX/201907190800/201907190800",WI
17,2019-07-19 12:07:39+00:00,0,,,,0,"At 7:05 AM CDT, 2 NE Lewiston [Winona Co, MN] EMERGENCY MNGR reports FLASH FLOOD. FLASH FLOODING REPORTED IN FARMERS COMMUNITY PARK, INCLUDING WASHOUTS. https://mesonet.agron.iastate.edu/lsr/#ARX/201907191205/201907191205",iembot_arx,1,iembot arx,"iembot arx At 7:05 AM CDT, 2 NE Lewiston [Winona Co, MN] EMERGENCY MNGR reports FLASH FLOOD. FLASH FLOODING REPORTED IN FARMERS COMMUNITY PARK, INCLUDING WASHOUTS. https://mesonet.agron.iastate.edu/lsr/#ARX/201907191205/201907191205",WI
18,2019-07-19 11:13:35+00:00,0,,,,1,I love being awake before my morning newsletters flood in tbh,savsmithKC,1,savsmithKC,savsmithKC I love being awake before my morning newsletters flood in tbh,WI
19,2019-07-19 10:28:15+00:00,0,,,,0,"At 5:22 AM CDT, 1 W Coon Valley [Vernon Co, WI] EMERGENCY MNGR reports FLASH FLOOD. HIGHWAY 14 BRIDGE IN COON VALLEY IS CLOSED DUE TO WATER OVER THE ROAD. https://mesonet.agron.iastate.edu/lsr/#ARX/201907191022/201907191022",iembot_arx,1,iembot arx,"iembot arx At 5:22 AM CDT, 1 W Coon Valley [Vernon Co, WI] EMERGENCY MNGR reports FLASH FLOOD. HIGHWAY 14 BRIDGE IN COON VALLEY IS CLOSED DUE TO WATER OVER THE ROAD. https://mesonet.agron.iastate.edu/lsr/#ARX/201907191022/201907191022",WI
20,2019-07-19 09:16:25+00:00,0,,,,0,"At 4:13 AM CDT, 1 N Viroqua [Vernon Co, WI] LAW ENFORCEMENT reports FLASH FLOOD. WATER AND MUDSLIDE OVER COUNTY ROAD P EAST OF WESTBY. WATER OVER ROADWAY COUNTY ROAD P NORTH OF COON VALLEY. TEES DOWN EAST OF KICKAPOO RESERVE. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190913/201907190913",iembot_arx,1,iembot arx,"iembot arx At 4:13 AM CDT, 1 N Viroqua [Vernon Co, WI] LAW ENFORCEMENT reports FLASH FLOOD. WATER AND MUDSLIDE OVER COUNTY ROAD P EAST OF WESTBY. WATER OVER ROADWAY COUNTY ROAD P NORTH OF COON VALLEY. TEES DOWN EAST OF KICKAPOO RESERVE. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190913/201907190913",WI
21,2019-07-19 09:14:08+00:00,0,,,,0,"At 4:03 AM CDT, 1 SSE Winona [Winona Co, MN] EMERGENCY MNGR reports FLASH FLOOD. ROCK SLIDE ON GARVIN HEIGHTS ROAD ON THE HILL IN THE CITY OF WINONA. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190903/201907190903",iembot_arx,1,iembot arx,"iembot arx At 4:03 AM CDT, 1 SSE Winona [Winona Co, MN] EMERGENCY MNGR reports FLASH FLOOD. ROCK SLIDE ON GARVIN HEIGHTS ROAD ON THE HILL IN THE CITY OF WINONA. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190903/201907190903",WI
22,2019-07-19 09:11:04+00:00,0,,,,0,"At 3:55 AM CDT, 1 SSW Rockton [Vernon Co, WI] EMERGENCY MNGR reports FLASH FLOOD. CAMPERS HAD TO BE EVACUATED FROM KICKAPOO VALLEY RESERVE. SOME WASHOUTS STARTING IN THE COUNTY. KICKAPOO RIVER AND COON CREEK ARE OUT OF THEIR BANKS. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190855/201907190855",iembot_arx,1,iembot arx,"iembot arx At 3:55 AM CDT, 1 SSW Rockton [Vernon Co, WI] EMERGENCY MNGR reports FLASH FLOOD. CAMPERS HAD TO BE EVACUATED FROM KICKAPOO VALLEY RESERVE. SOME WASHOUTS STARTING IN THE COUNTY. KICKAPOO RIVER AND COON CREEK ARE OUT OF THEIR BANKS. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190855/201907190855",WI
23,2019-07-19 08:38:04+00:00,0,,,,0,"At 2:56 AM CDT, 4 NE Ridgeway [Winona Co, MN] FIRE DEPT/RESCUE reports FLASH FLOOD. WATER OVER COUNTY ROAD 7. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190756/201907190756",iembot_arx,1,iembot arx,"iembot arx At 2:56 AM CDT, 4 NE Ridgeway [Winona Co, MN] FIRE DEPT/RESCUE reports FLASH FLOOD. WATER OVER COUNTY ROAD 7. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190756/201907190756",WI
24,2019-07-19 08:34:50+00:00,0,,,,0,"At 2:56 AM CDT, 4 NE Ridgeway [Winona Co, MN] FIRE DEPT/RESCUE reports FLASH FLOOD. MUDSLIDES AND TREES DOWN ON COUNTY ROAD 7 BETWEEN PICKWICK AND WINONA COUNTY ROAD 12. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190756/201907190756",iembot_arx,1,iembot arx,"iembot arx At 2:56 AM CDT, 4 NE Ridgeway [Winona Co, MN] FIRE DEPT/RESCUE reports FLASH FLOOD. MUDSLIDES AND TREES DOWN ON COUNTY ROAD 7 BETWEEN PICKWICK AND WINONA COUNTY ROAD 12. https://mesonet.agron.iastate.edu/lsr/#ARX/201907190756/201907190756",WI
25,2019-07-19 08:32:28+00:00,9,,#TheResistance #VoteOutTheGOP #ClimateChange #OnePlanetOneHome #FactsMatter #Floods,@NOAA,11,"'Sunny day’ high tide floods are on the rise along U.S. coasts https://www.sciencenews.org/article/sunny-day-high-tide-floods-are-rise-along-us-coasts By 2050, sea level rise could make such flooding a new normal, a @NOAA report warns #TheResistance #VoteOutTheGOP #ClimateChange #OnePlanetOneHome #FactsMatter #Floods ",ChristiAnne67,1,ChristiAnne67,"ChristiAnne67 'Sunny day’ high tide floods are on the rise along U.S. coasts https://www.sciencenews.org/article/sunny-day-high-tide-floods-are-rise-along-us-coasts By 2050, sea level rise could make such flooding a new normal, a @NOAA report warns #TheResistance #VoteOutTheGOP #ClimateChange #OnePlanetOneHome #FactsMatter #Floods ",WI
26,2019-07-19 06:55:18+00:00,1,,,@ChemDryByEdward,1,"Home, carpet, area rugs, tile, grout cleaning, leather, flood clean up are all services provided @ChemDryByEdward",ChemDryByEdward,1,ChemDryByEdward,"ChemDryByEdward Home, carpet, area rugs, tile, grout cleaning, leather, flood clean up are all services provided @ChemDryByEdward",WI
27,2019-07-19 04:45:02+00:00,0,,,,1,"Thanks for the invite brother. Man, I wish I could. Feel like I’m in a flood. One thing after another. We will definitely hook up though. I miss hanging out there. Got to definitely get back up that way ",MardyKing1,1,MardyKing1,"MardyKing1 Thanks for the invite brother. Man, I wish I could. Feel like I’m in a flood. One thing after another. We will definitely hook up though. I miss hanging out there. Got to definitely get back up that way ",WI
28,2019-07-19 04:33:12+00:00,0,,#downtowncharleston #SilverSurfer,,0,Totally forgot how #downtowncharleston floods out with the drop of a 5-minute thunderstorm. Had to wade to the #SilverSurfer and let’s just say this little piggy is crying we-we-we all the way home! I thought those… https://www.instagram.com/p/B0FcZ4eh1WM/?igshid=1bgwcm10649ak,jamestrabert,1,jamestrabert,jamestrabert Totally forgot how #downtowncharleston floods out with the drop of a 5-minute thunderstorm. Had to wade to the #SilverSurfer and let’s just say this little piggy is crying we-we-we all the way home! I thought those… https://www.instagram.com/p/B0FcZ4eh1WM/?igshid=1bgwcm10649ak,WI
29,2019-07-19 03:45:35+00:00,0,,#ADE2019,,3,"Thanks for the encouragement! The positivity the ADE community showed me really lifted me up. It is not easy to get up in packed hall of hundreds when the flood lights boom on you, the timer starts, and you have 3 minutes to share your story and deepest secrets. Thanks #ADE2019",Johnalbert91,1,Johnalbert91,"Johnalbert91 Thanks for the encouragement! The positivity the ADE community showed me really lifted me up. It is not easy to get up in packed hall of hundreds when the flood lights boom on you, the timer starts, and you have 3 minutes to share your story and deepest secrets. Thanks #ADE2019",WI
30,2019-07-19 03:39:28+00:00,0,,,,0,We must all keep retweeting to get this out there ... Fake News can ignore it but we can flood social media,map301,1,map301,map301 We must all keep retweeting to get this out there ... Fake News can ignore it but we can flood social media,WI
31,2019-07-19 03:29:47+00:00,0,,,,1,We’re choosing the rule of law. Obama said we’re a nation of laws. We are not going to let radical commies flood our country with criminals. We will secure the border and eliminate sanctuary cities.,grykon,1,grykon,grykon We’re choosing the rule of law. Obama said we’re a nation of laws. We are not going to let radical commies flood our country with criminals. We will secure the border and eliminate sanctuary cities.,WI
32,2019-07-19 03:16:55+00:00,2,,#MYWAY #LINKINBIO #TooBusyWinning #FLOOD #FOE #SOLID #houston #rap,,2,Don’t be that one mf that try to fuck up the vibe tomorrow please #MYWAY DROPS AT 12am Available for Pre Order NOW #LINKINBIO #TooBusyWinning #FLOOD #FOE #SOLID #houston #rap… https://www.instagram.com/p/B0FSx0ogMLc/?igshid=nv0gt8zsp02c,TBWSirSpitta,0,TBWSirSpitta,TBWSirSpitta Don’t be that one mf that try to fuck up the vibe tomorrow please #MYWAY DROPS AT 12am Available for Pre Order NOW #LINKINBIO #TooBusyWinning #FLOOD #FOE #SOLID #houston #rap… https://www.instagram.com/p/B0FSx0ogMLc/?igshid=nv0gt8zsp02c,WI
33,2019-07-19 03:14:41+00:00,0,,,,1,"Limestone bike trails in a flood zone, none of the MN Nice, ""On your left,"" and it's perfectly fine to ride on a sidewalk or without a helmet. I kind of dig the bike culture in Winnipeg.",NxNorthwoods,1,NxNorthwoods,"NxNorthwoods Limestone bike trails in a flood zone, none of the MN Nice, ""On your left,"" and it's perfectly fine to ride on a sidewalk or without a helmet. I kind of dig the bike culture in Winnipeg.",WI
34,2019-07-19 03:06:15+00:00,0,,,,1,The last two times I went back to my hometown was 2017 and 2012. I’m having floods and floods of emotions about going back next week and I’m trying really hard to be strong enough to show Jake around the places the completely broke me.,____Aubree____,1,    Aubree    ,    Aubree     The last two times I went back to my hometown was 2017 and 2012. I’m having floods and floods of emotions about going back next week and I’m trying really hard to be strong enough to show Jake around the places the completely broke me.,WI
35,2019-07-19 02:45:39+00:00,3,,#LINKINBIO #TooBusyWinning #MYWAY #FLOOD #FOE #SOLID #wshh #gtdigitaldistribution #houston #bayarea,@GTDigitalDIST @Goldtoes415,2,"Go Pre Order “MY WAY” Now #LINKINBIO @GTDigitalDIST hempe4 @goldtoes415 tootiewootie #TooBusyWinning #MYWAY #FLOOD #FOE #SOLID #wshh #gtdigitaldistribution #houston #bayarea @Houston, Texas https://www.instagram.com/p/B0FP1Y7AuO2/?igshid=1anlunk3pztvr",TBWSirSpitta,0,TBWSirSpitta,"TBWSirSpitta Go Pre Order “MY WAY” Now #LINKINBIO @GTDigitalDIST hempe4 @goldtoes415 tootiewootie #TooBusyWinning #MYWAY #FLOOD #FOE #SOLID #wshh #gtdigitaldistribution #houston #bayarea @Houston, Texas https://www.instagram.com/p/B0FP1Y7AuO2/?igshid=1anlunk3pztvr",WI
36,2019-07-19 02:40:52+00:00,2,,#MYWAY #FLOOD #TooBusyWinning #FLOOD #FOE,@AppleMusic,1,PRE ORDER #MYWAY The link is in my bio @applemusic THANK EVERYBODY THAT BELIEVES In Me! Even if it’s just a lil bit! This is just the first step! AH AH AHHHHH #FLOOD #TooBusyWinning #FLOOD #FOE… https://www.instagram.com/p/B0FPjBoANl8/?igshid=ndu14kq9locr,TBWSirSpitta,0,TBWSirSpitta,TBWSirSpitta PRE ORDER #MYWAY The link is in my bio @applemusic THANK EVERYBODY THAT BELIEVES In Me! Even if it’s just a lil bit! This is just the first step! AH AH AHHHHH #FLOOD #TooBusyWinning #FLOOD #FOE… https://www.instagram.com/p/B0FPjBoANl8/?igshid=ndu14kq9locr,WI
37,2019-07-19 02:39:27+00:00,0,,,,0,"Wow, you think of me so highly! I'm honored. In this new platform of mine, I will enforce eVerify. As well, I will help finish the wall to stop the onslaught of illegal aliens trying to flood over out border.",JimmyXJames,1,JimmyXJames,"JimmyXJames Wow, you think of me so highly! I'm honored. In this new platform of mine, I will enforce eVerify. As well, I will help finish the wall to stop the onslaught of illegal aliens trying to flood over out border.",WI
38,2019-07-19 02:28:47+00:00,1,,,,0,"At 8:50 PM CDT, 8 ESE Rogersville [Limestone Co, AL] COUNTY OFFICIAL reports FLOOD. WATER IS REPORTED TO BE COVERING PARTS OF HARDY ROAD, HOLT SPRINGER ROAD, RIPLEY ROAD AND SNAKE ROAD NEAR ATHENS. https://mesonet.agron.iastate.edu/lsr/#HUN/201907190150/201907190150",iembot_hun,1,iembot hun,"iembot hun At 8:50 PM CDT, 8 ESE Rogersville [Limestone Co, AL] COUNTY OFFICIAL reports FLOOD. WATER IS REPORTED TO BE COVERING PARTS OF HARDY ROAD, HOLT SPRINGER ROAD, RIPLEY ROAD AND SNAKE ROAD NEAR ATHENS. https://mesonet.agron.iastate.edu/lsr/#HUN/201907190150/201907190150",WI
39,2019-07-19 02:20:29+00:00,1,,,,0,"At 8:50 PM CDT, 6 ESE Rogersville [Limestone Co, AL] COUNTY OFFICIAL reports FLOOD. WATER IS COVERING PARTS OF HIGHWAY 72 IN ATHENS BETWEEN CLEMENTS HIGH SCHOOL AND CLEMENTS BAPTIST CHURCH. https://mesonet.agron.iastate.edu/lsr/#HUN/201907190150/201907190150",iembot_hun,1,iembot hun,"iembot hun At 8:50 PM CDT, 6 ESE Rogersville [Limestone Co, AL] COUNTY OFFICIAL reports FLOOD. WATER IS COVERING PARTS OF HIGHWAY 72 IN ATHENS BETWEEN CLEMENTS HIGH SCHOOL AND CLEMENTS BAPTIST CHURCH. https://mesonet.agron.iastate.edu/lsr/#HUN/201907190150/201907190150",WI
40,2019-07-19 02:19:31+00:00,0,,,,0,"Mother Nature / God / Kami keeps reminding this province climate change is real, but these people refuse to believe it. Forest fires, droughts, floods, snow in July, hail... What more for evidence? ",jonnyquesty2k,1,jonnyquesty2k,"jonnyquesty2k Mother Nature / God / Kami keeps reminding this province climate change is real, but these people refuse to believe it. Forest fires, droughts, floods, snow in July, hail... What more for evidence? ",WI
41,2019-07-19 01:53:17+00:00,0,,,,39,"the CATS trailer brought a flood of emotions that I didn’t expect, but perhaps the most unexpected was the pure ANGER I felt when a friend, after seeing the trailer for the first time, said “cats don’t have lips though”",ashtonevans,1,ashtonevans,"ashtonevans the CATS trailer brought a flood of emotions that I didn’t expect, but perhaps the most unexpected was the pure ANGER I felt when a friend, after seeing the trailer for the first time, said “cats don’t have lips though”",WI
42,2019-07-19 01:47:04+00:00,0,,,,0,Flash flood!,DryHeatBlog,1,DryHeatBlog,DryHeatBlog Flash flood!,WI
43,2019-07-19 01:38:43+00:00,0,,,,0,Doug McNeil is a flood expert from Manitoba It is hoped Doug Ford will ultimately honour Mr. McNeil's recommendations.,TyroneStreete2,1,TyroneStreete2,TyroneStreete2 Doug McNeil is a flood expert from Manitoba It is hoped Doug Ford will ultimately honour Mr. McNeil's recommendations.,WI
44,2019-07-19 01:33:42+00:00,0,,,,0,"At 8:15 PM CDT, 3 N Rogersville [Lauderdale Co, AL] PUBLIC reports FLOOD. THE ROAD ALONG COUNTY ROAD 123 AND COUNTY ROAD 76 NEAR ROGERSVILLE IS IMPASSABLE DUE TO WATER COVERING THE ROAD. https://mesonet.agron.iastate.edu/lsr/#HUN/201907190115/201907190115",iembot_hun,1,iembot hun,"iembot hun At 8:15 PM CDT, 3 N Rogersville [Lauderdale Co, AL] PUBLIC reports FLOOD. THE ROAD ALONG COUNTY ROAD 123 AND COUNTY ROAD 76 NEAR ROGERSVILLE IS IMPASSABLE DUE TO WATER COVERING THE ROAD. https://mesonet.agron.iastate.edu/lsr/#HUN/201907190115/201907190115",WI
45,2019-07-19 01:27:40+00:00,0,,#EndoJC,@RWJMS,9,"#EndoJC David Cohen, endocrinologist &amp; Vice Chair of Medicine at @RWJMS in NJ. Checking in while I clean the FLOOD IN MY BASEMENT!!! ",DavidACohen_MD,1,DavidACohen MD,"DavidACohen MD #EndoJC David Cohen, endocrinologist &amp; Vice Chair of Medicine at @RWJMS in NJ. Checking in while I clean the FLOOD IN MY BASEMENT!!! ",WI
46,2019-07-19 01:23:22+00:00,0,,,,2, ,kristy527,1,kristy527,kristy527  ,WI
47,2019-07-19 01:22:49+00:00,0,,,,0,"At 8:05 PM CDT, 3 S Lexington [Lauderdale Co, AL] EMERGENCY MNGR reports FLASH FLOOD. WATER FLOWING OVER THE ROAD AND INTO THE FRONT LAWN OF A HOME ALONG THE 7700 BLOCK ON HIGHWAY 101 NEAR LEXINGTON. https://mesonet.agron.iastate.edu/lsr/#HUN/201907190105/201907190105",iembot_hun,1,iembot hun,"iembot hun At 8:05 PM CDT, 3 S Lexington [Lauderdale Co, AL] EMERGENCY MNGR reports FLASH FLOOD. WATER FLOWING OVER THE ROAD AND INTO THE FRONT LAWN OF A HOME ALONG THE 7700 BLOCK ON HIGHWAY 101 NEAR LEXINGTON. https://mesonet.agron.iastate.edu/lsr/#HUN/201907190105/201907190105",WI
48,2019-07-19 01:17:50+00:00,2,,,,1,Either drought or flood. This region can’t catch a break. ,therockyfiles,1,therockyfiles,therockyfiles Either drought or flood. This region can’t catch a break. ,WI
49,2019-07-19 00:49:58+00:00,0,,#climatechange #ClimateCrisis #ClimateActionNow,,3,"I did not know about this organization called CGIAR, which is doing a commendable job of designing seeds which is more tolerant to climate change, i.e., to extreme heat or flood situations. #climatechange #ClimateCrisis #ClimateActionNow",swadhin_pradhan,1,swadhin pradhan,"swadhin pradhan I did not know about this organization called CGIAR, which is doing a commendable job of designing seeds which is more tolerant to climate change, i.e., to extreme heat or flood situations. #climatechange #ClimateCrisis #ClimateActionNow",WI
50,2019-07-19 00:46:54+00:00,0,,,,0,"You greedy old fool. Gaslighting away thinking your tiny little white base, gerrymandering and voter suppression is going to lift you out of the flood of justice coming your way in 2020.",Lianne1,1,Lianne1,"Lianne1 You greedy old fool. Gaslighting away thinking your tiny little white base, gerrymandering and voter suppression is going to lift you out of the flood of justice coming your way in 2020.",WI
51,2019-07-19 00:46:13+00:00,0,,,,0,This has me in floods of relief. ,aimless_is_more,1,aimless is more,aimless is more This has me in floods of relief. ,WI
52,2019-07-19 00:38:32+00:00,0,,,,0,If they're lucky it'll flood tonight,natecancook,1,natecancook,natecancook If they're lucky it'll flood tonight,WI
53,2019-07-19 00:33:54+00:00,0,,,,1,We’ve been flood warned since about 5pm locally. It’s been a wet one!,babowling12,1,babowling12,babowling12 We’ve been flood warned since about 5pm locally. It’s been a wet one!,WI
54,2019-07-19 00:30:27+00:00,0,,,,0,"At 6:45 PM EDT, Clark [Union Co, NJ] LAW ENFORCEMENT reports FLASH FLOOD. MULTIPLE REPORTS OF PEOPLE RESCUED FROM VEHICLES IN CLARK, UNION COUNTY. https://mesonet.agron.iastate.edu/lsr/#OKX/201907182245/201907182245",iembot_okx,1,iembot okx,"iembot okx At 6:45 PM EDT, Clark [Union Co, NJ] LAW ENFORCEMENT reports FLASH FLOOD. MULTIPLE REPORTS OF PEOPLE RESCUED FROM VEHICLES IN CLARK, UNION COUNTY. https://mesonet.agron.iastate.edu/lsr/#OKX/201907182245/201907182245",WI
55,2019-07-19 00:27:21+00:00,0,,,,0,"At 7:00 PM EDT, Montgomery TWP [Somerset Co, NJ] 911 CALL CENTER reports FLASH FLOOD. ROUTE 206 IN MONTGOMERY CLOSED DUE TO FLOODING. TIME OF REPORT ESTIMATED. https://mesonet.agron.iastate.edu/lsr/#PHI/201907182300/201907182300",iembot_phi,1,iembot phi,"iembot phi At 7:00 PM EDT, Montgomery TWP [Somerset Co, NJ] 911 CALL CENTER reports FLASH FLOOD. ROUTE 206 IN MONTGOMERY CLOSED DUE TO FLOODING. TIME OF REPORT ESTIMATED. https://mesonet.agron.iastate.edu/lsr/#PHI/201907182300/201907182300",WI
56,2019-07-19 00:19:19+00:00,1,,,,2,"CNN July Debate Question; Most important Debate Question Please Vote Re-tweet or post yourself, lets flood CNN ",BakerLackey,1,BakerLackey,"BakerLackey CNN July Debate Question; Most important Debate Question Please Vote Re-tweet or post yourself, lets flood CNN ",WI
57,2019-07-18 23:59:38+00:00,4,,,@POTUS,4,"And this is what happens when @POTUS spews his racist remarks &amp; bullies anyone who is not a white male. He’s opened the flood gates &amp; said it’s ok to hate people bc of their sexuality, gender, color, religion. History will not be kind to him or those that stand by and do nothing. ",JohnsonJeanine,1,JohnsonJeanine,"JohnsonJeanine And this is what happens when @POTUS spews his racist remarks &amp; bullies anyone who is not a white male. He’s opened the flood gates &amp; said it’s ok to hate people bc of their sexuality, gender, color, religion. History will not be kind to him or those that stand by and do nothing. ",WI
